Route,Count
palakkad anakkatty (stay),9
mannarkad anakkatty,20
anakkatty perinthalmanna,1
mannarkad palakkad,15
palakkad mannarkad,26
mannarkad moonamthodu,1
moonamthodu palakkad,1
mannarkad palakkayam,7
oachira harippad,5
harippad patharam,1
palakkayam mannarkad,5
kayamkulam bharanikkavu,1
ambalamkunnu kottarakkara,1
bharanikkavu kayamkulam,2
ambalamkunnu kollam,3
mannarkad irumbakachola,1
sasthamkotta kayamkulam,5
palakkad kuttippuram,9
kuttippuram palakkad,5
kuttippuram pattambi,3
pattambi kuttippuram,3
pattambi tirur,4
tirur pattambi,2
pathanamthitta alappuzha,12
kallara parippally,4
kilimanoor mandathara,1
mandathara attingal,1
kadakkal attingal,9
attingal kadakkal,11
kilimanoor panappamkunnu,2
panappamkunnu tvm medical college,2
panappamkunnu thiruvananthapuram,1
tvm medical college panappamkunnu,2
payyannur kanhangad,40
kanhangad payyannur,40
payyannur rajagiri,2
thiruvananthapuram vellarada,77
vellarada thiruvananthapuram,88
chathanad angamaly,1
kayamkulam thiruvananthapuram,12
oachira thiruvananthapuram,1
karunagappally harippad,45
thiruvananthapuram alappuzha,4
kollam thekkumbhagam,2
thekkumbhagam thiruvananthapuram,1
karunagappally ernakulam,3
karunagappally kollam,66
karunagapally malanada,1
malanada thiruvananthapuram,4
kattilkadavu thiruvananthapuram,1
ernakulam karunagappally,2
karunagappally thiruvananthapuram,9
karunagappally kodungallur,1
kodungallur vallikkavu,1
vallikkavu alappuzha,1
pala vaikom,44
vembayam muthuvila,30
muthuvila vembayam,26
kattakkada poovar,68
poovar kaliyikkavila,70
kaliyikkavila poovar,67
aryanad kuttichal,2
kuttichal nedumangad,1
nedumangad kalliyal,2
kalliyal nedumangad,1
aryanad enjapuri,2
enjapuri nedumangad,4
nedumangad enjapuri,5
enjapuri tvm medical college,1
tvm medical college nedumangad,14
arkkanoor kadakkal,1
kottarakkara karunagappally,84
aryanad meenankal,8
meenankal thiruvananthapuram,11
karunagappally kottarakkara,84
alumkadavu karunagappally,3
mannarkad kongad,6
kongad mannarkad,7
mannarkad ottapalam,6
kottarakkara tvm medical college,4
mangalapuram kasaragod,124
tvm medical college varkala,17
thiruvananthapuram dalummugham,1
dalummugham thiruvananthapuram,4
thiruvananthapuram vizhinjam,80
thiruvananthapuram panavilacode temple,3
pandalam chengannur,38
chengannur alappuzha,16
venmony chengannur,2
chengannur venmony (stay),2
thiruvananthapuram munnar,4
thiruvananthapuram kattappana,8
punalur kokkadu,16
changanassery pampady,3
pampady changanassery,3
changanassery alappuzha,78
alappuzha changanassery,75
changanassery pulinkunnu,27
kayamkulam sasthamkotta,3
kattakkada emmanuvel college,1
emmanuvel college thiruvananthapuram,1
olathani thiruvananthapuram,5
tvm medical college olathani,1
pozhiyoor tvm medical college,6
neyyattinkara neyyattinkara (circular),17
poozhikunnu thiruvananthapuram,5
thiruvananthapuram kulathoor hs,3
vilakkupara anchal,9
vilakkupara ayoor,4
ayoor vilakkupara,4
anchal punalur,4
punalur elambal,3
elambal punalur,3
punalur railway station,1
punalur railway station chaliyakkara,8
chaliyakkara punalur,7
punalur vilakkupara,9
vilakkupara anchal market,13
anchal market vilakkupara,13
anchal vilakkupara,8
vilakkupara punalur,9
punalur kottarakkara,46
kottarakkara punalur,42
punalur punalur (circular),14
vazhichal thiruvananthapuram,4
thiruvananthapuram neyyattinkara,69
neyyattinkara perumkadavila,5
perumkadavila thiruvananthapuram,3
vithura culvert jersy farm,6
thiruvananthapuram perumkadavila,1
punalur kollam,56
thiruvananthapuram koviluvila,1
kollam anchal,4
kayamkulam punalur,88
koviluvila thiruvananthapuram,1
jersy farm vithura culvert,4
kaliyikkavila thiruvananthapuram,116
pandalam thiruvalla,7
thiruvalla pandalam,8
palakkad thrissur medical college,94
thrissur medical college thrissur,1
thrissur manappadam,1
manappadam vadakencherry,1
vadakkencherry palakkad,6
mannarkad alappuzha,1
alappuzha mannarkad,1
perinthalmanna thamarassery,3
thamarassery perinthalmanna,3
perinthalmanna kondotty,3
kondotty perinthalmanna,3
malappuram perinthalmanna,2
perinthalmanna malappuram,2
perinthalmanna mysore,1
malappuram kozhikkode,12
kozhikkode palakkad,85
palakkad kozhikkode,78
palakkad pattambi,7
ayiramthengu kayamkulam,1
jersy farm vithura,2
kalpetta civil station kalpetta,1
kalpetta venniyode,4
panacode nedumangad,7
panacode thiruvananthapuram,4
thiruvananthapuram panacode,8
nedumangad undappara,7
undappara nedumangad,6
alappuzha thiruvalla,88
edathuva thiruvalla,15
thiruvalla edathuva,15
alappuzha edathuva,23
edathuva alappuzha,23
edathuva ambalappuzha,25
ambalappuzha edathuva,17
ambalappuzha thiruvalla,17
thiruvalla ambalappuzha,93
thiruvalla harippad,23
thiruvananthapuram 16 th mile,1
nedumangad pachamala,5
pachamala nedumangad,5
nedumangad palode,18
manickappuram thiruvananthapuram,1
thiruvananthapuram manickappuram,1
nedumangad attinpuram,3
attinpuram nedumangad,2
attinpuram thiruvananthapuram,1
nedumangad panacode,4
nedumangad panayam,2
panayam nedumangad,2
cheppilode nedumangad,4
cheppilode tvm medical college,4
